Date,Weekday,MealType,Paytm+Cash,Coupons,SemType,Holiday,MenuItem
2022-10-01,5,BreakFast,129.0,,False,False,
2022-10-01,5,Lunch,333.0,75.0,False,False,
2022-10-01,5,EveningSnacks,17.0,36.0,False,False,
2022-10-01,5,Dinner,47.0,58.0,False,False,
2022-10-02,6,BreakFast,69.0,71.0,False,False,
2022-10-02,6,Lunch,106.0,86.0,False,False,
2022-10-02,6,EveningSnacks,8.0,,False,False,
2022-10-02,6,Dinner,172.0,99.0,False,False,
2022-10-03,0,BreakFast,76.0,87.0,False,False,
2022-10-03,0,Lunch,186.0,125.0,False,False,
2022-10-03,0,EveningSnacks,16.0,,False,False,
2022-10-03,0,Dinner,108.0,127.0,False,False,
2022-10-04,1,BreakFast,67.0,98.0,False,False,
2022-10-04,1,Lunch,108.0,140.0,False,False,
2022-10-04,1,EveningSnacks,4.0,89.0,False,False,
2022-10-04,1,Dinner,18.0,95.0,False,False,
2022-10-05,2,BreakFast,22.0,87.0,False,False,
2022-10-05,2,Lunch,22.0,93.0,False,False,
2022-10-05,2,EveningSnacks,2.0,70.0,False,False,
2022-10-05,2,Dinner,38.0,,False,False,
2022-10-06,3,BreakFast,19.0,80.0,False,False,
2022-10-06,3,Lunch,57.0,153.0,False,False,
2022-10-06,3,EveningSnacks,12.0,96.0,False,False,
2022-10-06,3,Dinner,10.0,85.0,False,False,
2022-10-07,4,BreakFast,36.0,121.0,False,False,
2022-10-07,4,Lunch,34.0,151.0,False,False,
2022-10-07,4,EveningSnacks,5.0,89.0,False,False,
2022-10-07,4,Dinner,61.0,185.0,False,False,
2022-10-08,5,BreakFast,10.0,85.0,False,False,
2022-10-08,5,Lunch,113.0,196.0,False,False,
2022-10-08,5,EveningSnacks,6.0,70.0,False,False,
2022-10-08,5,Dinner,13.0,136.0,False,False,
2022-10-09,6,BreakFast,11.0,110.0,False,False,
2022-10-09,6,Lunch,15.0,159.0,False,False,
2022-10-09,6,EveningSnacks,0.0,76.0,False,False,
2022-10-09,6,Dinner,65.0,192.0,False,False,
2022-10-10,0,BreakFast,14.0,120.0,False,False,
2022-10-10,0,Lunch,41.0,205.0,False,False,
2022-10-10,0,EveningSnacks,16.0,170.0,False,False,
2022-10-10,0,Dinner,21.0,205.0,False,False,
2022-10-11,1,BreakFast,23.0,144.0,False,False,
2022-10-11,1,Lunch,51.0,231.0,False,False,
2022-10-11,1,EveningSnacks,12.0,168.0,False,False,
2022-10-11,1,Dinner,16.0,189.0,False,False,
2022-10-12,2,BreakFast,19.0,134.0,False,False,
2022-10-12,2,Lunch,31.0,214.0,False,False,
2022-10-12,2,EveningSnacks,8.0,162.0,False,False,
2022-10-12,2,Dinner,68.0,276.0,False,False,
2022-10-13,3,BreakFast,31.0,119.0,False,False,
2022-10-13,3,Lunch,51.0,244.0,False,False,
2022-10-13,3,EveningSnacks,7.0,138.0,False,False,
2022-10-13,3,Dinner,19.0,197.0,False,False,
2022-10-14,4,BreakFast,17.0,139.0,False,False,
2022-10-14,4,Lunch,46.0,183.0,False,False,
2022-10-14,4,EveningSnacks,2.0,,False,False,
2022-10-14,4,Dinner,44.0,261.0,False,False,
2022-10-15,5,BreakFast,14.0,153.0,False,False,
2022-10-15,5,Lunch,51.0,229.0,False,False,
2022-10-15,5,EveningSnacks,1.0,118.0,False,False,
2022-10-15,5,Dinner,19.0,169.0,False,False,
2022-10-16,6,BreakFast,20.0,163.0,False,False,
2022-10-16,6,Lunch,11.0,191.0,False,False,
2022-10-16,6,EveningSnacks,4.0,123.0,False,False,
2022-10-16,6,Dinner,67.0,251.0,False,False,
2022-10-17,0,BreakFast,24.0,148.0,False,False,
2022-10-17,0,Lunch,34.0,191.0,False,False,
2022-10-17,0,EveningSnacks,7.0,191.0,False,False,
2022-10-17,0,Dinner,14.0,216.0,False,False,
2022-10-18,1,BreakFast,14.0,131.0,False,False,
2022-10-18,1,Lunch,55.0,180.0,False,False,
2022-10-18,1,EveningSnacks,6.0,152.0,False,False,
2022-10-18,1,Dinner,19.0,,False,False,
2022-10-19,2,BreakFast,19.0,134.0,False,False,
2022-10-19,2,Lunch,32.0,,False,False,
2022-10-19,2,EveningSnacks,2.0,133.0,False,False,
2022-10-19,2,Dinner,47.0,238.0,False,False,
2022-10-20,3,BreakFast,13.0,113.0,False,False,
2022-10-20,3,Lunch,42.0,193.0,False,False,
2022-10-20,3,EveningSnacks,3.0,122.0,False,False,
2022-10-20,3,Dinner,18.0,144.0,False,False,
2022-10-21,4,BreakFast,42.0,,False,False,
2022-10-21,4,Lunch,32.0,160.0,False,False,
2022-10-21,4,EveningSnacks,2.0,,False,False,
2022-10-21,4,Dinner,27.0,179.0,False,False,
2022-10-22,5,BreakFast,22.0,,False,False,
2022-10-22,5,Lunch,47.0,,False,False,
2022-10-22,5,EveningSnacks,0.0,,False,False,
2022-10-22,5,Dinner,6.0,,False,False,
2022-10-23,6,BreakFast,7.0,,False,False,
2022-10-23,6,Lunch,12.0,,False,False,
2022-10-23,6,EveningSnacks,0.0,,False,False,
2022-10-23,6,Dinner,15.0,,False,False,
2022-10-24,0,BreakFast,5.0,,False,False,
