Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-04,103,40,6,2
2023-02-04,173,46,8,2
2023-03-04,240,52,8,2
2023-04-04,265,53,8,2
2023-05-04,321,53,8,2
2023-06-04,336,54,8,2
2023-07-04,357,54,8,2
2023-08-04,360,55,8,2
2023-09-04,360,55,8,2
2023-10-04,366,55,8,2
2023-11-04,369,55,8,2
2023-12-04,377,55,8,2
2023-13-04,377,55,8,2
2023-14-04,377,55,8,2
2023-15-04,377,55,8,2
2023-16-04,377,55,8,2
2023-17-04,377,55,8,2
2023-18-04,377,55,8,2
2023-19-04,377,55,8,2
2023-20-04,377,55,8,2
2023-21-04,377,55,8,2
2023-22-04,377,55,8,2
2023-23-04,377,55,8,2
2023-24-04,377,55,8,2
2023-25-04,377,55,8,2
2023-26-04,377,55,8,2
2023-27-04,377,55,8,2
2023-28-04,377,55,8,2
2023-29-04,377,55,8,2
2023-30-04,377,55,8,2
