Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-08,47,39,22,10
2023-02-08,108,59,30,10
2023-03-08,134,79,34,10
2023-04-08,153,90,38,10
2023-05-08,171,100,43,12
2023-06-08,200,118,48,12
2023-07-08,311,135,51,12
2023-08-08,368,141,51,12
2023-09-08,401,142,51,12
2023-10-08,403,142,51,12
2023-11-08,404,142,51,12
2023-12-08,404,142,51,12
2023-13-08,404,142,51,12
2023-14-08,404,142,51,12
2023-15-08,404,142,51,12
2023-16-08,404,142,51,12
2023-17-08,404,142,51,12
2023-18-08,404,142,51,12
2023-19-08,404,142,51,12
2023-20-08,404,142,51,12
2023-21-08,404,142,51,12
2023-22-08,404,142,51,12
2023-23-08,404,142,51,12
2023-24-08,404,142,51,12
2023-25-08,404,142,51,12
2023-26-08,404,142,51,12
2023-27-08,404,142,51,12
2023-28-08,404,142,51,12
2023-29-08,404,142,51,12
2023-30-08,404,142,51,12
2023-31-08,404,142,51,12
