Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2022-01-12,150,20,3,0
2022-02-12,237,25,5,0
2022-03-12,294,30,6,0
2022-04-12,322,30,6,0
2022-05-12,373,30,6,0
2022-06-12,411,31,6,0
2022-07-12,478,33,6,0
2022-08-12,478,33,6,0
2022-09-12,478,33,6,0
2022-10-12,478,33,6,0
2022-11-12,478,33,6,0
2022-12-12,478,33,6,0
2022-13-12,478,33,6,0
2022-14-12,478,33,6,0
2022-15-12,478,33,6,0
2022-16-12,478,33,6,0
2022-17-12,478,33,6,0
2022-18-12,478,33,6,0
2022-19-12,478,33,6,0
2022-20-12,478,33,6,0
2022-21-12,478,33,6,0
2022-22-12,478,33,6,0
2022-23-12,478,33,6,0
2022-24-12,478,33,6,0
2022-25-12,478,33,6,0
2022-26-12,478,33,6,0
2022-27-12,478,33,6,0
2022-28-12,478,33,6,0
2022-29-12,478,33,6,0
2022-30-12,478,33,6,0
2022-31-12,478,33,6,0
