Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-02,159,40,6,0
2023-02-02,239,44,6,0
2023-03-02,273,48,6,0
2023-04-02,293,49,6,0
2023-05-02,303,49,6,0
2023-06-02,357,50,6,0
2023-07-02,382,50,6,0
2023-08-02,394,50,6,0
2023-09-02,403,50,6,0
2023-10-02,435,50,6,0
2023-11-02,440,50,6,0
2023-12-02,440,50,6,0
2023-13-02,440,50,6,0
2023-14-02,440,50,6,0
2023-15-02,440,50,6,0
2023-16-02,440,50,6,0
2023-17-02,440,50,6,0
2023-18-02,440,50,6,0
2023-19-02,440,50,6,0
2023-20-02,440,50,6,0
2023-21-02,440,50,6,0
2023-22-02,440,50,6,0
2023-23-02,440,50,6,0
2023-24-02,440,50,6,0
2023-25-02,440,50,6,0
2023-26-02,440,50,6,0
2023-27-02,440,50,6,0
2023-28-02,440,50,6,0
