Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-01,4,3,1,1
2023-02-01,27,6,1,1
2023-03-01,33,7,1,1
2023-04-01,38,8,2,1
2023-05-01,41,8,2,1
2023-06-01,45,8,2,1
2023-07-01,48,9,2,1
2023-08-01,50,9,2,1
2023-09-01,52,9,2,1
2023-10-01,54,9,2,1
2023-11-01,63,9,2,1
2023-12-01,64,9,2,1
2023-13-01,64,9,2,1
2023-14-01,64,9,2,1
2023-15-01,64,9,2,1
2023-16-01,64,9,2,1
2023-17-01,64,9,2,1
2023-18-01,64,9,2,1
2023-19-01,64,9,2,1
2023-20-01,64,9,2,1
2023-21-01,64,9,2,1
2023-22-01,64,9,2,1
2023-23-01,64,9,2,1
2023-24-01,64,9,2,1
2023-25-01,64,9,2,1
2023-26-01,64,9,2,1
2023-27-01,64,9,2,1
2023-28-01,64,9,2,1
2023-29-01,64,9,2,1
2023-30-01,64,9,2,1
2023-31-01,64,9,2,1
