Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-07,27,41,19,12
2023-02-07,36,53,28,12
2023-03-07,54,62,39,12
2023-04-07,60,75,41,12
2023-05-07,72,81,43,12
2023-06-07,75,82,43,12
2023-07-07,81,83,43,12
2023-08-07,90,85,43,12
2023-09-07,92,85,43,12
2023-10-07,98,88,43,12
2023-11-07,100,90,43,12
2023-12-07,101,90,43,12
2023-13-07,101,90,43,12
2023-14-07,101,90,43,12
2023-15-07,101,90,43,12
2023-16-07,101,90,43,12
2023-17-07,101,90,43,12
2023-18-07,101,90,43,12
2023-19-07,101,90,43,12
2023-20-07,101,90,43,12
2023-21-07,101,90,43,12
2023-22-07,101,90,43,12
2023-23-07,101,90,43,12
2023-24-07,101,90,43,12
2023-25-07,101,90,43,12
2023-26-07,101,90,43,12
2023-27-07,101,90,43,12
2023-28-07,101,90,43,12
2023-29-07,101,90,43,12
2023-30-07,101,90,43,12
2023-31-07,101,90,43,12
