Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-06,35,17,3,1
2023-02-06,48,20,4,1
2023-03-06,54,22,4,1
2023-04-06,55,22,4,1
2023-05-06,60,22,4,1
2023-06-06,61,22,4,1
2023-07-06,62,23,4,1
2023-08-06,64,23,4,1
2023-09-06,64,23,4,1
2023-10-06,64,23,4,1
2023-11-06,64,23,4,1
2023-12-06,64,23,4,1
2023-13-06,64,23,4,1
2023-14-06,64,23,4,1
2023-15-06,64,23,4,1
2023-16-06,64,23,4,1
2023-17-06,64,23,4,1
2023-18-06,64,23,4,1
2023-19-06,64,23,4,1
2023-20-06,64,23,4,1
2023-21-06,64,23,4,1
2023-22-06,64,23,4,1
2023-23-06,64,23,4,1
2023-24-06,64,23,4,1
2023-25-06,64,23,4,1
2023-26-06,64,23,4,1
2023-27-06,64,23,4,1
2023-28-06,64,23,4,1
2023-29-06,64,23,4,1
2023-30-06,64,23,4,1
