Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-05,73,24,5,1
2023-02-05,97,29,6,1
2023-03-05,111,31,6,1
2023-04-05,118,31,6,1
2023-05-05,120,32,6,1
2023-06-05,125,32,6,1
2023-07-05,127,32,6,1
2023-08-05,128,33,6,1
2023-09-05,129,33,6,1
2023-10-05,129,33,6,1
2023-11-05,129,33,6,1
2023-12-05,129,33,6,1
2023-13-05,129,33,6,1
2023-14-05,129,33,6,1
2023-15-05,129,33,6,1
2023-16-05,129,33,6,1
2023-17-05,129,33,6,1
2023-18-05,129,33,6,1
2023-19-05,129,33,6,1
2023-20-05,129,33,6,1
2023-21-05,129,33,6,1
2023-22-05,129,33,6,1
2023-23-05,129,33,6,1
2023-24-05,129,33,6,1
2023-25-05,129,33,6,1
2023-26-05,129,33,6,1
2023-27-05,129,33,6,1
2023-28-05,129,33,6,1
2023-29-05,129,33,6,1
2023-30-05,129,33,6,1
2023-31-05,129,33,6,1
