Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2022-01-11,78,56,14,3
2022-02-11,144,85,17,3
2022-03-11,219,94,20,3
2022-04-11,271,102,20,3
2022-05-11,321,105,21,3
2022-06-11,349,115,21,3
2022-07-11,379,118,21,3
2022-08-11,400,121,21,3
2022-09-11,446,122,21,3
2022-10-11,455,122,21,3
2022-11-11,458,122,21,3
2022-12-11,469,122,21,3
2022-13-11,469,122,21,3
2022-14-11,469,122,21,3
2022-15-11,469,122,21,3
2022-16-11,469,122,21,3
2022-17-11,469,122,21,3
2022-18-11,469,122,21,3
2022-19-11,469,122,21,3
2022-20-11,469,122,21,3
2022-21-11,469,122,21,3
2022-22-11,469,122,21,3
2022-23-11,469,122,21,3
2022-24-11,469,122,21,3
2022-25-11,469,122,21,3
2022-26-11,469,122,21,3
2022-27-11,469,122,21,3
2022-28-11,469,122,21,3
2022-29-11,469,122,21,3
2022-30-11,469,122,21,3
