Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2022-01-10,28,83,4,0
2022-02-10,61,93,5,0
2022-03-10,97,94,5,0
2022-04-10,124,96,5,0
2022-05-10,136,96,5,0
2022-06-10,147,96,5,0
2022-07-10,179,97,5,0
2022-08-10,198,97,5,0
2022-09-10,223,97,5,0
2022-10-10,261,97,5,0
2022-11-10,280,97,5,0
2022-12-10,290,97,5,0
2022-13-10,290,97,5,0
2022-14-10,290,97,5,0
2022-15-10,290,97,5,0
2022-16-10,290,97,5,0
2022-17-10,290,97,5,0
2022-18-10,290,97,5,0
2022-19-10,290,97,5,0
2022-20-10,290,97,5,0
2022-21-10,290,97,5,0
2022-22-10,290,97,5,0
2022-23-10,290,97,5,0
2022-24-10,290,97,5,0
2022-25-10,290,97,5,0
2022-26-10,290,97,5,0
2022-27-10,290,97,5,0
2022-28-10,290,97,5,0
2022-29-10,290,97,5,0
2022-30-10,290,97,5,0
