Date,15_coupon_count,20_coupon_count,25_coupon_count,30_coupon_count
2023-01-09,137,71,31,8
2023-02-09,200,100,33,8
2023-03-09,251,118,39,8
2023-04-09,321,128,41,8
2023-05-09,336,130,41,8
2023-06-09,349,131,41,8
2023-07-09,356,132,41,8
2023-08-09,359,132,41,8
2023-09-09,361,132,41,8
2023-10-09,418,132,41,8
2023-11-09,428,133,41,8
2023-12-09,436,133,41,8
2023-13-09,436,133,41,8
2023-14-09,436,133,41,8
2023-15-09,436,133,41,8
2023-16-09,436,133,41,8
2023-17-09,436,133,41,8
2023-18-09,436,133,41,8
2023-19-09,436,133,41,8
2023-20-09,436,133,41,8
2023-21-09,436,133,41,8
2023-22-09,436,133,41,8
2023-23-09,436,133,41,8
2023-24-09,436,133,41,8
2023-25-09,436,133,41,8
2023-26-09,436,133,41,8
2023-27-09,436,133,41,8
2023-28-09,436,133,41,8
2023-29-09,436,133,41,8
2023-30-09,436,133,41,8
